MLP_Layer,Learning_Rate,Dropout_Rate,Ensemble_Size,Mean_Best_Epoch,Mean_Accuracy,Std_Accuracy,Mean_AUROC,Std_AUROC,Mean_Avg_Precision,Std_Avg_Precision,Gen_Best_Epoch,Gen_Accuracy,Gen_AUROC,Gen_Avg_Precision,Calibration_Slope
"[120, 60, 20]",0.1,0.4,1,epoch_0,0.6143,0.1751,0.7455,0.2293,0.6933,0.2492,27,0.7266,0.7476,0.6006,0.6616
"[120, 60, 40]",0.1,0.4,1,epoch_15,0.6657,0.1356,0.7376,0.207,0.6809,0.2328,7,0.6623,0.7131,0.5822,0.92
"[30, 20]",0.1,0.4,3,epoch_1,0.7269,0.1727,0.8463,0.2137,0.8074,0.2255,1,0.7266,0.7835,0.5986,1.1065
"[60, 60]",0.1,0.4,3,epoch_2,0.6902,0.1618,0.83,0.2112,0.7863,0.2268,2,0.6901,0.7855,0.6181,1.163
"[60, 60, 40]",0.1,0.4,3,epoch_2,0.6719,0.1588,0.8015,0.2112,0.772,0.2184,12,0.6827,0.7722,0.5966,0.9676
"[120, 60, 20]",0.1,0.4,3,epoch_12,0.6979,0.1291,0.8088,0.2213,0.7544,0.2603,0,0.7018,0.7699,0.659,2.902
"[120, 60, 40]",0.1,0.4,3,epoch_0,0.5786,0.1363,0.8029,0.1841,0.772,0.2006,2,0.7149,0.8045,0.6649,1.5693
"[30, 20]",0.1,0.6,1,epoch_1,0.6756,0.1394,0.8254,0.2073,0.7822,0.2313,4,0.7281,0.7763,0.6955,1.1827
"[60, 60]",0.1,0.6,1,epoch_3,0.6631,0.1528,0.7972,0.2079,0.7347,0.2504,1,0.6667,0.7052,0.5645,1.1334
"[60, 60, 40]",0.1,0.6,1,epoch_0,0.6302,0.027,0.7142,0.1544,0.6472,0.1525,28,0.6491,0.5872,0.4824,1.8593
"[120, 60, 20]",0.1,0.6,1,epoch_1,0.6726,0.0976,0.8005,0.1885,0.7332,0.1975,1,0.6725,0.7307,0.604,1.5756
"[120, 60, 40]",0.1,0.6,1,epoch_6,0.671,0.0638,0.6651,0.1734,0.5783,0.202,1,0.6491,0.6758,0.5405,1.3857
"[30, 20]",0.1,0.6,3,epoch_1,0.6755,0.1417,0.8596,0.2161,0.836,0.232,15,0.7325,0.8128,0.6486,1.1534
"[60, 60]",0.1,0.6,3,epoch_1,0.6802,0.1426,0.8223,0.2222,0.7835,0.2399,3,0.7354,0.7873,0.6154,1.1404
"[60, 60, 40]",0.1,0.6,3,epoch_6,0.6476,0.03,0.7711,0.2277,0.7223,0.2298,8,0.6491,0.6873,0.5473,3.846
"[120, 60, 20]",0.1,0.6,3,epoch_1,0.6758,0.0942,0.7821,0.2164,0.7131,0.2369,1,0.6754,0.7372,0.603,2.2837
"[120, 60, 40]",0.1,0.6,3,epoch_2,0.6635,0.038,0.7403,0.2016,0.7178,0.1956,7,0.6652,0.6838,0.5655,3.4647
"[30, 20]",1.0,0,1,epoch_1,0.4481,0.1309,0.4759,0.0756,0.3944,0.0814,51,0.6433,0.5212,0.3832,0.268
"[60, 60]",1.0,0,1,epoch_1,0.4423,0.1441,0.5656,0.0796,0.4397,0.0672,1,0.443,0.5654,0.4434,0.5093
"[60, 60, 40]",1.0,0,1,epoch_0,0.4727,0.1184,0.7215,0.1736,0.6075,0.2403,0,0.4737,0.7176,0.5341,0.386
"[120, 60, 20]",1.0,0,1,epoch_0,0.547,0.2313,0.7194,0.2005,0.6167,0.2493,0,0.5468,0.7304,0.5212,0.4614
"[120, 60, 40]",1.0,0,1,epoch_0,0.4999,0.1663,0.7238,0.1926,0.6089,0.2451,0,0.5,0.7243,0.5154,0.472
"[30, 20]",1.0,0,3,epoch_1,0.3901,0.0779,0.4775,0.0772,0.3953,0.0834,51,0.636,0.5227,0.3882,0.7488
"[60, 60]",1.0,0,3,epoch_1,0.4813,0.213,0.5968,0.2293,0.5339,0.2056,68,0.6374,0.5856,0.4608,2.9966
"[60, 60, 40]",1.0,0,3,epoch_0,0.6266,0.2333,0.7416,0.1867,0.6327,0.2444,0,0.6243,0.7266,0.5337,0.5082
"[120, 60, 20]",1.0,0,3,epoch_0,0.6557,0.24,0.7124,0.211,0.6161,0.2591,0,0.6535,0.7133,0.5044,0.6186
"[120, 60, 40]",1.0,0,3,epoch_0,0.644,0.23,0.7356,0.1968,0.6289,0.2524,0,0.6418,0.7521,0.5499,0.212
"[30, 20]",1.0,0.2,1,epoch_514,0.6374,0.003,0.5395,0.1075,0.3951,0.0907,518,0.6374,0.5718,0.4311,0.9932
