MLP_Layer,Learning_Rate,Dropout_Rate,Ensemble_Size,Mean_Best_Epoch,Mean_Accuracy,Std_Accuracy,Mean_AUROC,Std_AUROC,Mean_Avg_Precision,Std_Avg_Precision,Gen_Best_Epoch,Gen_Accuracy,Gen_AUROC,Gen_Avg_Precision,Calibration_Slope
"[30, 20]",0.01,0.6,3,epoch_5,0.8976,0.0138,0.8397,0.1451,0.6044,0.2633,1,0.8933,0.7876,0.3884,1.2038
"[60, 60]",0.01,0.6,3,epoch_2,0.8943,0.0022,0.8485,0.1184,0.6102,0.2499,1,0.8933,0.8321,0.4287,0.914
"[60, 60, 40]",0.01,0.6,3,epoch_2,0.8933,0.0019,0.8568,0.1151,0.624,0.2459,1,0.8933,0.8385,0.4237,1.0738
"[120, 60, 20]",0.01,0.6,3,epoch_5,0.8933,0.0019,0.8336,0.1549,0.6147,0.2697,1,0.8933,0.8279,0.4546,1.0057
"[120, 60, 40]",0.01,0.6,3,epoch_5,0.8933,0.0019,0.8298,0.1643,0.6077,0.2696,1,0.8933,0.8339,0.425,0.9463
"[30, 20]",0.1,0,1,epoch_0,0.8933,0.0019,0.8784,0.077,0.6078,0.2111,0,0.8933,0.8441,0.3463,0.8333
"[60, 60]",0.1,0,1,epoch_0,0.8933,0.0019,0.8207,0.1419,0.5247,0.2716,0,0.8933,0.8074,0.3015,0.7703
"[60, 60, 40]",0.1,0,1,epoch_0,0.8933,0.0019,0.8143,0.1216,0.5348,0.2239,0,0.8933,0.8077,0.4036,1.5789
"[120, 60, 20]",0.1,0,1,epoch_0,0.8933,0.0019,0.8192,0.1281,0.5379,0.2505,0,0.8933,0.8314,0.4292,1.6376
"[120, 60, 40]",0.1,0,1,epoch_1,0.8933,0.0019,0.8298,0.1139,0.521,0.2237,1,0.8933,0.7932,0.3758,1.1955
"[30, 20]",0.1,0,3,epoch_0,0.8933,0.0019,0.8336,0.1264,0.5712,0.2311,0,0.8933,0.8167,0.2855,0.8306
"[60, 60]",0.1,0,3,epoch_0,0.8933,0.0019,0.8243,0.1489,0.556,0.2732,0,0.8933,0.8128,0.2679,0.9203
"[60, 60, 40]",0.1,0,3,epoch_0,0.8933,0.0019,0.811,0.1147,0.533,0.2309,0,0.8933,0.7845,0.3705,1.4301
"[120, 60, 20]",0.1,0,3,epoch_0,0.8933,0.0019,0.8243,0.1199,0.5589,0.257,0,0.8933,0.8038,0.4206,1.524
"[120, 60, 40]",0.1,0,3,epoch_1,0.8933,0.0019,0.822,0.1152,0.5211,0.26,1,0.8933,0.791,0.2738,1.6891
"[30, 20]",0.1,0.2,1,epoch_0,0.8933,0.0019,0.8346,0.1365,0.5673,0.2605,0,0.8933,0.8371,0.3536,0.7456
"[60, 60]",0.1,0.2,1,epoch_1,0.866,0.0768,0.8098,0.1532,0.5227,0.2764,0,0.8933,0.8186,0.345,0.9159
"[60, 60, 40]",0.1,0.2,1,epoch_0,0.8933,0.0019,0.8123,0.1386,0.5261,0.2415,0,0.8933,0.8088,0.4045,1.4103
"[120, 60, 20]",0.1,0.2,1,epoch_0,0.8933,0.0019,0.8079,0.1468,0.5337,0.2488,0,0.8933,0.8168,0.3869,1.3806
"[120, 60, 40]",0.1,0.2,1,epoch_3,0.8458,0.1039,0.8071,0.1468,0.5152,0.2711,1,0.8933,0.8133,0.3078,1.1297
"[30, 20]",0.1,0.2,3,epoch_0,0.8933,0.0019,0.8249,0.1425,0.5612,0.2683,0,0.8933,0.8256,0.3279,0.8237
"[60, 60]",0.1,0.2,3,epoch_0,0.8933,0.0019,0.8396,0.1367,0.5843,0.2774,0,0.8933,0.8288,0.33,1.0307
