MLP Layer,Learning Rate,Dropout Rate,Ensemble Size,Best Epoch,Accuracy,AUROC,Avg Precision
"[60, 40]",0.01,0.5,0,763,0.903,0.8619,0.5938
"[120, 60, 40]",0.01,0.5,0,734,0.9016,0.8676,0.6065
[20],0.01,0.6,0,986,0.8967,0.8382,0.5642
"[30, 20]",0.01,0.6,0,933,0.9012,0.8544,0.5716
"[60, 20]",0.01,0.6,0,926,0.9016,0.8602,0.602
"[60, 60, 20]",0.01,0.6,0,998,0.9003,0.8633,0.5985
"[120, 60, 20]",0.01,0.6,0,853,0.9021,0.8686,0.609
[40],0.01,0.6,0,997,0.8962,0.8494,0.5794
"[40, 40]",0.01,0.6,0,998,0.9021,0.8614,0.5971
"[60, 40]",0.01,0.6,0,999,0.9021,0.8649,0.5973
"[120, 60, 40]",0.01,0.6,0,828,0.8998,0.8688,0.6096
[20],0.01,0.7,0,1000,0.8935,0.8418,0.5636
"[30, 20]",0.01,0.7,0,989,0.8976,0.8555,0.5827
"[60, 20]",0.01,0.7,0,1000,0.9003,0.8581,0.5923
"[60, 60, 20]",0.01,0.7,0,929,0.8994,0.8609,0.6019
"[120, 60, 20]",0.01,0.7,0,921,0.8967,0.8649,0.605
[40],0.01,0.7,0,984,0.8967,0.8509,0.5764
"[40, 40]",0.01,0.7,0,973,0.9012,0.8566,0.5903
"[60, 40]",0.01,0.7,0,953,0.8994,0.8597,0.5951
"[120, 60, 40]",0.01,0.7,0,936,0.9003,0.8656,0.6093
[20],0.01,0.8,0,990,0.8881,0.8356,0.5565
"[30, 20]",0.01,0.8,0,1000,0.8827,0.8458,0.5753
"[60, 20]",0.01,0.8,0,1000,0.8881,0.8492,0.5751
"[60, 60, 20]",0.01,0.8,0,987,0.8795,0.8499,0.5888
"[120, 60, 20]",0.01,0.8,0,972,0.8845,0.8569,0.5963
[40],0.01,0.8,0,1000,0.8962,0.8464,0.5734
"[40, 40]",0.01,0.8,0,979,0.8976,0.8517,0.5822
"[60, 40]",0.01,0.8,0,1000,0.8935,0.8542,0.5831
"[120, 60, 40]",0.01,0.8,0,977,0.8944,0.857,0.5934
[20],0.01,0.9,0,1000,0.8795,0.8192,0.5368
"[30, 20]",0.01,0.9,0,995,0.8777,0.7899,0.5102
"[60, 20]",0.01,0.9,0,868,0.8777,0.7965,0.5221
"[60, 60, 20]",0.01,0.9,0,998,0.8777,0.7728,0.4995
"[120, 60, 20]",0.01,0.9,0,815,0.8777,0.7635,0.499
[40],0.01,0.9,0,990,0.8872,0.8323,0.5515
"[40, 40]",0.01,0.9,0,1000,0.8777,0.807,0.5246
"[60, 40]",0.01,0.9,0,1000,0.8777,0.8113,0.5394
"[120, 60, 40]",0.01,0.9,0,967,0.8777,0.7786,0.5129
[20],0.1,0.0,0,1000,0.8958,0.8303,0.5517
"[30, 20]",0.1,0.0,0,997,0.9044,0.8622,0.5883
"[60, 20]",0.1,0.0,0,830,0.9043,0.8591,0.5718
"[60, 60, 20]",0.1,0.0,0,465,0.9039,0.8633,0.5815
"[120, 60, 20]",0.1,0.0,0,272,0.8998,0.8545,0.5745
[40],0.1,0.0,0,972,0.898,0.8403,0.562
"[40, 40]",0.1,0.0,0,777,0.9021,0.8605,0.5582
"[60, 40]",0.1,0.0,0,652,0.9003,0.8589,0.5682
"[120, 60, 40]",0.1,0.0,0,316,0.8998,0.8652,0.6
[20],0.1,0.1,0,1000,0.8962,0.8313,0.5521
"[30, 20]",0.1,0.1,0,986,0.9021,0.8585,0.564
"[60, 20]",0.1,0.1,0,850,0.9048,0.8624,0.5919
"[60, 60, 20]",0.1,0.1,0,644,0.9016,0.8644,0.5919
"[120, 60, 20]",0.1,0.1,0,354,0.9012,0.8633,0.5938
[40],0.1,0.1,0,991,0.8962,0.8433,0.5647
"[40, 40]",0.1,0.1,0,980,0.9025,0.8627,0.5803
