MLP_Layer,Learning_Rate,Dropout_Rate,Ensemble_Size,Mean_Best_Epoch,Mean_Accuracy,Std_Accuracy,Mean_AUROC,Std_AUROC,Mean_Avg_Precision,Std_Avg_Precision,Gen_Best_Epoch,Gen_Accuracy,Gen_AUROC,Gen_Avg_Precision,Calibration_Slope
"[120, 60, 40]",0.1,0.2,1,epoch_28,0.665,0.119,0.6561,0.1786,0.6035,0.2089,177,0.6721,0.6917,0.631,0.5534
"[30, 20]",0.1,0.2,3,epoch_1,0.7759,0.1402,0.8618,0.1223,0.8242,0.1671,0,0.6442,0.8016,0.7414,1.703
"[60, 60]",0.1,0.2,3,epoch_2,0.7544,0.1427,0.8346,0.1393,0.8026,0.1783,1,0.6791,0.7517,0.7071,1.2939
"[60, 60, 40]",0.1,0.2,3,epoch_1,0.673,0.1412,0.8304,0.136,0.803,0.1625,4,0.7163,0.7992,0.7688,0.9593
"[120, 60, 20]",0.1,0.2,3,epoch_3,0.7452,0.1302,0.8506,0.1246,0.8097,0.1652,615,0.7233,0.8288,0.7517,10000.0
"[120, 60, 40]",0.1,0.2,3,epoch_8,0.7107,0.1659,0.8135,0.1653,0.7905,0.1846,312,0.7628,0.8182,0.7441,1.4181
"[30, 20]",0.1,0.4,1,epoch_1,0.7685,0.1554,0.8626,0.118,0.825,0.1634,3,0.7744,0.8237,0.745,1.0013
"[60, 60]",0.1,0.4,1,epoch_2,0.7522,0.1485,0.8422,0.1434,0.8054,0.1835,2,0.7512,0.7664,0.7042,0.9372
"[60, 60, 40]",0.1,0.4,1,epoch_1,0.7224,0.1404,0.8617,0.1054,0.825,0.1405,13,0.7535,0.8169,0.728,0.9336
"[120, 60, 20]",0.1,0.4,1,epoch_1,0.6238,0.1774,0.8001,0.1946,0.7628,0.2156,1,0.6233,0.7452,0.7107,0.8864
"[120, 60, 40]",0.1,0.4,1,epoch_8,0.7139,0.1194,0.8401,0.1458,0.8048,0.178,11,0.7465,0.8154,0.7417,0.9213
"[30, 20]",0.1,0.4,3,epoch_1,0.7851,0.1308,0.8659,0.1144,0.8226,0.1651,2,0.7953,0.8429,0.7636,1.0958
"[60, 60]",0.1,0.4,3,epoch_2,0.7754,0.131,0.8518,0.1398,0.8181,0.1809,4,0.7581,0.8283,0.7148,1.0736
"[60, 60, 40]",0.1,0.4,3,epoch_1,0.7525,0.1329,0.8542,0.1125,0.8183,0.1509,1,0.7512,0.8151,0.773,1.5302
"[120, 60, 20]",0.1,0.4,3,epoch_2,0.7547,0.1487,0.8553,0.1353,0.8229,0.176,1,0.7186,0.7726,0.7167,1.25
